0|41
507696	90	5103	07:34:00
137915	90	5103	07:39:00
22757	90	5112	11:20:00
120328	90	5112	11:20:00
123025	90	5112	11:20:00
131263	90	5112	11:20:00
147073	80	5112	11:20:00
175835	90	5112	11:20:00
180037	90	5112	11:20:00
192496	90	5112	11:20:00
194044	90	5112	11:20:00
205234	90	5112	11:20:00
207030	90	5112	11:20:00
208031	90	5112	11:20:00
277277	90	5112	11:20:00
295315	90	5112	11:20:00
325346	90	5112	11:20:00
392726	90	5112	11:20:00
459622	90	5112	11:20:00
461814	90	5112	11:20:00
497792	90	5112	11:20:00
507010	90	5112	11:20:00
531386	80	5112	11:20:00
578821	90	5112	11:20:00
600770	80	5112	11:20:00
608376	90	5112	11:20:00
592747	50	5112	11:21:00
592747	50	5112	11:21:00
592747	70	5112	11:21:00
180037	70	5112	11:22:00
452599	0	5112	11:22:00
180037	30	5112	11:22:00
452599	50	5112	11:22:00
452599	0	5112	11:22:00
9101	90	5112	11:23:00
392726	90	5112	11:23:00
392726	90	5112	11:23:00
9101	90	5112	11:23:00
9101	90	5112	11:23:00
192496	90	5112	11:24:00
608376	0	5112	11:24:00
1|229
1996	90	5424	15:27:00
2255	90	5424	15:27:00
10843	90	5424	15:27:00
18260	90	5424	15:27:00
18519	90	5424	15:27:00
19106	90	5424	15:27:00
21931	90	5424	15:27:00
22757	90	5424	15:27:00
23521	90	5424	15:27:00
25311	90	5424	15:27:00
34525	90	5424	15:27:00
34947	90	5424	15:27:00
39975	90	5424	15:27:00
40476	90	5424	15:27:00
41693	90	5424	15:27:00
46539	90	5424	15:27:00
46759	90	5424	15:27:00
47888	90	5424	15:27:00
55629	90	5424	15:27:00
55971	90	5424	15:27:00
56437	90	5424	15:27:00
56970	90	5424	15:27:00
67136	90	5424	15:27:00
70896	90	5424	15:27:00
71149	90	5424	15:27:00
74262	90	5424	15:27:00
75445	90	5424	15:27:00
75757	90	5424	15:27:00
79902	90	5424	15:27:00
85222	90	5424	15:27:00
95689	90	5424	15:27:00
97762	90	5424	15:27:00
102328	90	5424	15:27:00
105502	90	5424	15:27:00
111411	90	5424	15:27:00
112273	90	5424	15:27:00
112642	90	5424	15:27:00
